Woreda,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Percentage of the Population with Limited Communications Access,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Kebena,2.78271486,2.379356492,0.273400799,1.393006296,4.581286658,8.757007815
Muhur Na Aklil,2.948982827,2.770355169,0.350065184,2.577611171,4.984415644,10.51100964
Hamer,2.913319986,4.181823111,0.574158791,3.337159825,1.285969511,7.536449321
Dasenech (Kuraz),4.082311816,4.486776027,0.657727109,3.800520931,1.857409858,9.740242605
Bero,1.687992081,3.206272245,0.459847076,3.065030417,1.602981874,6.356004372
Gurafereda,1.462337706,3.036437986,0.479676712,3.295691396,1.497917673,6.255946775
Sheka,2.109243298,2.622289647,0.44561479,2.435004506,3.258817073,7.803064877
Debub Bench,2.493982881,2.728645412,0.441284823,2.247800898,3.73040743,8.472191209
Menit Goldiye,1.885479252,3.065704964,0.444795304,3.680684388,2.144170752,7.710334391
Gelila (Semen Ari),2.878852752,3.237186393,0.472243236,4.470878963,4.596748647,11.94648036
Male,2.272511662,3.743774308,0.609927222,3.581092904,2.209518123,8.063122689
Ayida,2.340334683,3.492185406,0.506361992,4.547913929,3.634313598,10.52256221
Geze Gofa,2.269124585,3.324369046,0.502728998,4.760222753,3.900732385,10.93007972
Tocha,2.437416792,3.008622232,0.50897071,2.967366773,3.435112491,8.839896056
Gena Bosa,2.293734376,3.101849125,0.554145053,3.350247117,2.584729533,8.228711026
Tulo,2.476658357,3.140442852,0.445512814,3.390026779,4.307154149,10.17383928
Sayilem,2.083972884,3.189987287,0.404608503,3.563078171,3.485202428,9.132253482
Bita (Big),2.165475356,2.701892968,0.407499888,3.510661481,3.472873389,9.149010226
Getawa,2.089749855,2.875740713,0.399042218,3.177778762,3.35511201,8.622640627
Anderacha,1.427972996,2.736125351,0.418402663,3.517551923,2.615852395,7.561377313
Hadero Tubito,2.996452827,2.83667811,0.50427806,2.364554237,4.939205582,10.30021265
Dune,3.057509729,2.762746142,0.480396382,3.775312629,4.995404633,11.82822699
Gembora,3.29354644,2.9887325,0.460518536,3.270129702,4.111132517,10.67480866
Misrak Azenet Berbere,3.018529933,3.095660945,0.348708968,3.070989082,4.960644936,11.05016395
Endiguagn,3.016518776,2.568079997,0.354280852,1.990516478,4.992100767,9.999136021
Limu,3.222680458,2.350513013,0.262589315,1.575436148,4.972388267,9.770504872
Geta,3.00453376,2.696985405,0.350538954,2.121056531,5,10.12559029
Analemmo,3.367356044,2.922172465,0.357412415,2.313616539,4.863945663,10.54491825
Mierab Azenet Berbere,3.007368613,2.571894558,0.345576097,1.308396149,4.999498965,9.315263728
Sankura,3.75072572,2.298525308,0.519419856,2.709558188,4.657491236,11.11777514
Doya Gena,3.127126248,2.625683126,0.438679932,1.930069961,5,10.05719621
